iter	Passed	Remaining
0	56	56302
1	56	28344
2	57	18965
3	57	14271
4	57	11454
5	57	9575
6	58	8238
7	58	7229
8	58	6442
9	58	5813
10	58	5299
11	59	4870
12	59	4507
13	59	4195
14	59	3926
15	60	3692
16	60	3485
17	60	3300
18	60	3135
19	60	2987
20	61	2851
21	61	2728
22	61	2616
23	61	2513
24	61	2417
25	62	2330
26	62	2250
27	62	2174
28	62	2104
29	63	2038
30	63	1977
31	63	1921
32	63	1868
33	63	1817
34	64	1770
35	64	1726
36	64	1683
37	64	1644
38	65	1605
39	65	1569
40	65	1535
41	65	1501
42	66	1470
43	66	1440
44	66	1411
45	66	1383
46	67	1359
47	67	1334
48	67	1310
49	67	1287
50	67	1265
51	68	1243
52	68	1222
53	68	1202
54	68	1182
55	69	1163
56	69	1146
57	69	1129
58	69	1112
59	69	1095
60	70	1080
61	70	1064
62	70	1050
63	70	1036
64	71	1022
65	71	1008
66	71	995
67	71	983
68	71	970
69	72	958
70	72	947
71	72	935
72	72	924
73	73	914
74	73	903
75	73	893
76	73	883
77	73	873
78	74	864
79	74	854
80	74	846
81	74	837
82	74	827
83	75	818
84	75	811
85	75	804
86	75	796
87	76	790
88	76	783
89	76	776
90	77	769
91	77	762
92	77	755
93	77	748
94	77	742
95	78	735
96	78	729
97	78	723
98	78	717
99	79	711
100	79	705
101	79	700
102	79	694
103	79	689
104	80	683
105	80	678
106	80	673
107	80	668
108	81	663
109	81	657
110	81	652
111	81	648
112	81	643
113	82	638
114	82	634
115	82	629
116	82	625
117	83	620
118	83	616
119	83	612
120	83	608
121	83	603
122	84	599
123	84	595
124	84	591
125	84	587
126	84	583
127	85	579
128	85	576
129	85	574
130	86	571
131	86	568
132	86	564
133	86	561
134	87	558
135	87	555
136	87	552
137	87	549
138	88	546
139	88	544
140	88	541
141	88	537
142	89	534
143	89	531
144	89	528
145	89	525
146	89	522
147	90	519
148	90	516
149	90	514
150	91	512
151	91	509
152	91	506
153	91	503
154	91	501
155	92	498
156	92	496
157	92	493
158	92	491
159	93	488
160	93	485
161	93	483
162	93	481
163	93	478
164	94	476
165	94	474
166	94	472
167	95	470
168	95	468
169	95	465
170	95	463
171	95	461
172	96	459
173	96	457
174	96	455
175	96	453
176	97	451
177	97	449
178	97	447
179	97	445
180	97	443
181	98	441
182	98	439
183	98	437
184	98	435
185	99	433
186	99	431
187	99	429
188	99	427
189	99	425
190	100	423
191	100	422
192	100	421
193	101	420
194	101	418
195	101	417
196	101	415
197	102	413
198	102	411
199	102	410
200	102	408
201	103	407
202	103	405
203	103	403
204	103	402
205	104	400
206	104	399
207	104	397
208	104	396
209	104	394
210	105	393
211	105	391
212	105	390
213	105	388
214	106	387
215	106	385
216	106	384
217	106	382
218	106	381
219	107	379
220	107	378
221	107	377
222	107	375
223	108	374
224	108	373
225	108	372
226	108	370
227	109	369
228	109	367
229	109	366
230	109	365
231	109	363
232	110	362
233	110	360
234	110	359
235	110	358
236	110	357
237	111	355
238	111	354
239	111	353
240	111	351
241	111	350
242	112	349
243	112	348
244	112	347
245	112	346
246	113	345
247	113	343
248	113	342
249	113	341
250	114	340
251	114	339
252	114	338
253	114	337
254	115	336
255	115	334
256	115	333
257	115	332
258	115	331
259	116	330
260	116	329
261	116	328
262	116	327
263	116	326
264	117	324
265	117	323
266	117	322
267	117	321
268	118	320
269	118	319
270	118	318
271	118	317
272	118	316
273	119	315
274	119	314
275	119	313
276	119	313
277	120	311
278	120	311
279	120	310
280	120	309
281	121	308
282	121	307
283	121	306
284	121	305
285	121	304
286	122	303
287	122	302
288	122	301
289	122	300
290	123	299
291	123	299
292	123	298
293	123	297
294	123	296
295	124	295
296	124	294
297	124	293
298	124	292
299	125	291
300	125	290
301	125	289
302	125	289
303	125	288
304	126	287
305	126	286
306	126	285
307	126	284
308	127	284
309	127	283
310	127	282
311	127	281
312	127	280
313	128	279
314	128	278
315	128	278
316	128	277
317	128	276
318	129	275
319	129	274
320	129	274
321	129	273
322	130	272
323	130	271
324	130	271
325	130	270
326	131	270
327	131	269
328	131	269
329	132	268
330	132	267
331	132	266
332	132	266
333	133	265
334	133	264
335	133	263
336	133	263
337	134	262
338	134	261
339	134	260
340	134	260
341	134	259
342	135	258
343	135	257
344	135	257
345	135	256
346	135	255
347	136	255
348	136	254
349	136	253
350	136	252
351	137	252
352	137	251
353	137	250
354	137	250
355	137	249
356	138	248
357	138	248
358	138	247
359	138	247
360	139	246
361	139	245
362	139	244
363	139	244
364	140	243
365	140	242
366	140	242
367	140	241
368	140	240
369	141	240
370	141	239
371	141	239
372	141	238
373	142	237
374	142	237
375	142	236
376	142	236
377	143	235
378	143	234
379	143	234
380	143	233
381	144	233
382	144	232
383	144	232
384	145	231
385	145	231
386	145	230
387	145	229
388	145	229
389	146	228
390	146	227
391	146	227
392	146	226
393	146	225
394	147	225
395	147	224
396	147	224
397	147	223
398	147	222
399	148	222
400	148	221
401	148	221
402	148	220
403	148	219
404	149	219
405	149	218
406	149	218
407	149	217
408	150	216
409	150	216
410	151	216
411	151	215
412	152	216
413	152	215
414	152	215
415	153	214
416	153	214
417	153	213
418	153	213
419	154	212
420	154	212
421	154	211
422	154	211
423	154	210
424	155	209
425	155	209
426	155	208
427	155	208
428	156	207
429	156	207
430	156	206
431	156	205
432	156	205
433	157	204
434	157	204
435	157	203
436	157	203
437	157	202
438	158	202
439	158	201
440	158	200
441	158	200
442	158	199
443	159	199
444	159	198
445	159	198
446	160	198
447	160	197
448	160	197
449	161	196
450	161	196
451	161	195
452	161	195
453	161	194
454	162	194
455	162	193
456	162	193
457	162	192
458	163	192
459	163	191
460	163	191
461	163	190
462	164	190
463	164	189
464	164	189
465	164	188
466	164	188
467	165	187
468	165	187
469	165	186
470	165	186
471	166	185
472	166	185
473	166	184
474	166	184
475	167	183
476	167	183
477	167	182
478	167	182
479	168	182
480	168	181
481	168	181
482	168	180
483	168	180
484	169	179
485	169	179
486	169	178
487	169	178
488	170	177
489	170	177
490	170	176
491	170	176
492	170	175
493	171	175
494	171	174
495	171	174
496	171	173
497	171	173
498	172	172
499	172	172
500	172	171
501	172	171
502	173	170
503	173	170
504	173	169
505	173	169
506	173	169
507	174	168
508	174	168
509	174	167
510	174	167
511	174	166
512	175	166
513	175	165
514	175	165
515	175	164
516	175	164
517	176	163
518	176	163
519	176	162
520	176	162
521	176	162
522	177	161
523	177	161
524	177	160
525	177	160
526	177	159
527	178	159
528	178	158
529	178	158
530	178	158
531	179	157
532	179	157
533	179	156
534	179	156
535	179	155
536	180	155
537	180	154
538	180	154
539	180	154
540	181	153
541	181	153
542	181	152
543	181	152
544	182	152
545	182	151
546	182	151
547	182	150
548	183	150
549	183	149
550	183	149
551	183	149
552	183	148
553	184	148
554	184	147
555	184	147
556	184	146
557	185	146
558	185	146
559	185	145
560	185	145
561	185	144
562	186	144
563	186	144
564	186	143
565	186	143
566	186	142
567	187	142
568	187	141
569	187	141
570	187	141
571	188	140
572	188	140
573	188	139
574	188	139
575	188	139
576	189	138
577	189	138
578	189	137
579	190	137
580	190	137
581	190	136
582	190	136
583	190	135
584	191	135
585	191	135
586	191	134
587	191	134
588	192	134
589	192	133
590	192	133
591	192	132
592	192	132
593	193	131
594	193	131
595	193	131
596	193	130
597	194	130
598	194	130
599	194	129
600	194	129
601	194	128
602	195	128
603	195	128
604	195	127
605	195	127
